file,class,method,variable,usage
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",customers,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,"findByStatusAndOutDate/2[java.lang.String,java.lang.String]",sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],pst,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],rs,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],customers,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,findByStatus/1[java.lang.String],sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,insert/1[model.Customer],pst,14
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,insert/1[model.Customer],con,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,insert/1[model.Customer],customer,13
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,insert/1[model.Customer],sql,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,mapCustomer/1[java.sql.ResultSet],rs,17
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,mapCustomer/1[java.sql.ResultSet],customer,18
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous4,keyPressed/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous4,keyReleased/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous4,keyTyped/1[java.awt.event.KeyEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/SignIn.java,ui.SignIn$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setAnswer/1[java.lang.String],answer,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setName/1[java.lang.String],name,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setPassword/1[java.lang.String],password,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setStatus/1[java.lang.String],status,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",password,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",answer,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",securityQuestion,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",email,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",status,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setSecurityQuestion/1[java.lang.String],securityQuestion,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setEmail/1[java.lang.String],email,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home$Anonymous5,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home$Anonymous4,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home$Anonymous3,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home$Anonymous2,actionPerformed/1[java.awt.event.ActionEvent],evt,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/CheckInController.java,controller.CheckInController,findRoomPrice/1[java.lang.String],roomNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/CheckInController.java,controller.CheckInController,"checkInCustomer/12[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",date,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/CheckInController.java,controller.CheckInController,"checkInCustomer/12[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",bed,1
